CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME	ACTIVITY_PARAMS	ACTIVITY_PROPS
CHEMBL247927	412923	CHEMBL247927	412923		I-10	401.51	4.97	59.83	0	CN(C)c1ccc(\C=C\c2cccc(\C=C\c3ccc(N(C)C)c(O)c3)n2)cc1O	2021324	IC50	=	900	nM	6.05	IC50	=	.9	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	454313	CHEMBL903491	B	Inhibition of amyloid beta 42 fibril formation by thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			37438	CHEMBL1139129	17270435	Bioorg. Med. Chem. Lett.	2007	17	5	1466					
CHEMBL3813788	2089517	CHEMBL3813788	2089517		3e	280.33	2.83	73.06	0	COc1ccc(CNc2nc(N)nc3ccccc23)cc1	16609321	IC50	=	1100	nM	5.96	IC50	=	1.1	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1582046	CHEMBL3817084	B	Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			99478	CHEMBL3813621	27190601	ACS Med. Chem. Lett.	2016	7	5	502					
CHEMBL1458517	882401	CHEMBL1458517	882401		1	221.28	2.44	43.1	0	CC1=Nc2sc3CCCCc3c2C(=O)O1	12143914	IC50	=	1200	nM	5.92	IC50	=	1.2	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	875926	CHEMBL2188039	B	Inhibition of aggregation of human DHFR-fused amyloid beta (1 to 42) expressed in yeast harboring erg6delta assessed as increase in yeast viability measured up to 20 hrs in presence of MTX	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000019	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			66615	CHEMBL2176928	23009151	J. Med. Chem.	2012	55	22	9521					
CHEMBL247727	412930	CHEMBL247727	412930		I-17	389.45	5.16	71.81	1	COc1cc(\C=C\c2cc(C)cc(\C=C\c3ccc(O)c(OC)c3)n2)ccc1O	2021318	IC50	=	1400	nM	5.85	IC50	=	1.4	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	454313	CHEMBL903491	B	Inhibition of amyloid beta 42 fibril formation by thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			37438	CHEMBL1139129	17270435	Bioorg. Med. Chem. Lett.	2007	17	5	1466					
CHEMBL2059206	1354975	CHEMBL2059206	1354975		1f	402.5	4.36	72.72	0	CN(C)c1ccc(\C=C\c2cc(\C=C\c3ccc(N(C)C)c(O)c3)ncn2)cc1O	10961463	IC50	=	3400	nM	5.47	IC50	=	3.4	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	829368	CHEMBL2060159	B	Inhibition of amyloid beta (1 to 42) fibril formation after 1 hr by ThT spectrofluorometric analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			62661	CHEMBL2057119	22831802	Bioorg. Med. Chem.	2012	20	16	4921					
CHEMBL3814909	2089533	CHEMBL3814909	2089533		4e	280.33	2.83	73.06	0	COc1ccc(CNc2nc(N)c3ccccc3n2)cc1	16609303	IC50	=	6800	nM	5.17	IC50	=	6.8	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1582046	CHEMBL3817084	B	Inhibition of self-induced amyloid beta 40 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			99478	CHEMBL3813621	27190601	ACS Med. Chem. Lett.	2016	7	5	502					
CHEMBL2402158	1569746	CHEMBL2402158	1569746		10b	349.39	4.29	92.95	0	Oc1cc(O)cc(\C=C\c2ccc(NCc3cccc(O)c3O)cc2)c1	13378604	IC50	=	7870	nM	5.1	IC50	=	7.87	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	969908	CHEMBL2404861	B	Inhibition of self-mediated amyloid beta (1 to 42) aggregation (unknown origin) after 48 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			74250	CHEMBL2401626	23799643	J. Med. Chem.	2013	56	14	5843					
CHEMBL3621634	1965308	CHEMBL3621634	1965308		12	263.3	3.82	53.35	0	Oc1ccc(\C=C\c2ccc(O)c3ncccc23)cc1	15729815	IC50	=	8500	nM	5.07	IC50	=	8.5	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1519694	CHEMBL3624039	B	Inhibition of self-induced amyloid beta (1 to 42) (unknown origin) aggregation after 48 hrs by ThT assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			93555	CHEMBL3621127		MedChemComm	2015	6	1	61					
CHEMBL3330741	1789740	CHEMBL3330741	1789740		E4	547.66	7.36	78.51	2	O=C1NC(=O)C(=Cc2ccc(s2)c3ccc(s3)c4ccc(cc4)N(c5ccccc5)c6ccccc6)C(=O)N1	14999895	IC50	>	10000	nM		IC50	>	10	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1459447	CHEMBL3368553	B	Inhibition of amyloid beta (1-42) aggregation (unknown origin) after 24 hrs by thioflavin T fluorescence method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			90659	CHEMBL3352213	25086914	Eur. J. Med. Chem.	2014	85		228					
CHEMBL3330752	1789751	CHEMBL3330752	1789751		E17	499.69	8.51	61.74	1	COc1ccc(cc1)c2cc3c(s2)c4sc(cc4n3C(C)(C)C)c5ccc(C=C(C#N)C#N)s5	14999906	IC50	>	10000	nM		IC50	>	10	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1459447	CHEMBL3368553	B	Inhibition of amyloid beta (1-42) aggregation (unknown origin) after 24 hrs by thioflavin T fluorescence method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			90659	CHEMBL3352213	25086914	Eur. J. Med. Chem.	2014	85		228					
CHEMBL2408264	1572675	CHEMBL2408264	1572675		4m	389.41	4.25	95.86	0	COc1ccc(C(=O)\C=C\c2ccc(cc2)C(=O)Nc3ccccc3O)c(O)c1	13394758	IC50	=	10100	nM	5	IC50	=	10.1	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	974299	CHEMBL2411729	B	Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) after 5 days by thioflavin T fluorescence method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			74341	CHEMBL2406947	23786711	Eur. J. Med. Chem.	2013	66		22					
CHEMBL2402163	1569751	CHEMBL2402163	1569751		14	387.53	5.31	38.74	1	CN(C)c1ccc(\C=C\c2ccc(NCc3cc(ccc3O)N(C)C)cc2)cc1	13378606	IC50	=	10660	nM	4.97	IC50	=	10.66	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	969908	CHEMBL2404861	B	Inhibition of self-mediated amyloid beta (1 to 42) aggregation (unknown origin) after 48 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			74250	CHEMBL2401626	23799643	J. Med. Chem.	2013	56	14	5843					
CHEMBL3594077	1952678	CHEMBL3594077	1952678		2	268.27	2.86	89.37	0	Oc1ccc(cc1)c2cc([nH]n2)c3c(O)cccc3O	15651304	IC50	=	15800	nM	4.8	IC50	=	15.8	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1505748	CHEMBL3594908	B	Inhibition of amyloid beta (1 to 42) (unknown origin) aggregation after 48 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			92818	CHEMBL3593231	26099993	J. Nat. Prod.	2015	78	7	1593					
CHEMBL165	103658	CHEMBL165	103658	RESVERATROL	Resv	228.25	2.97	60.69	0	Oc1ccc(\C=C\c2cc(O)cc(O)c2)cc1	13394745	IC50	=	15900	nM	4.8	IC50	=	15.9	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	974299	CHEMBL2411729	B	Inhibition of amyloid beta (1-42) self-mediated aggregation (unknown origin) after 5 days by thioflavin T fluorescence method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			74341	CHEMBL2406947	23786711	Eur. J. Med. Chem.	2013	66		22					
CHEMBL245478	412948	CHEMBL245478	412948		II-13	447.42	6.92	6.48	1	CN(C)c1ccc(\C=C\c2cc(Br)cc(\C=C\c3ccc(cc3)N(C)C)c2)cc1	2021304	IC50	>	20000	nM		IC50	>	20	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	454313	CHEMBL903491	B	Inhibition of amyloid beta 42 fibril formation by thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			37438	CHEMBL1139129	17270435	Bioorg. Med. Chem. Lett.	2007	17	5	1466					
CHEMBL3814363	2089514	CHEMBL3814363	2089514		3b	264.33	3.13	63.83	0	Cc1cccc(CNc2nc(N)nc3ccccc23)c1	16609287	IC50	>	25000	nM		IC50	>	25	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1582047	CHEMBL3817085	B	Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			99478	CHEMBL3813621	27190601	ACS Med. Chem. Lett.	2016	7	5	502					
CHEMBL3814397	2089545	CHEMBL3814397	2089545		4q	256.35	3.2	63.83	0	Nc1nc(NCC2CCCCC2)nc3ccccc13	16609254	IC50	>	25000	nM		IC50	>	25	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1582047	CHEMBL3817085	B	Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			99478	CHEMBL3813621	27190601	ACS Med. Chem. Lett.	2016	7	5	502					
CHEMBL3815002	2089528	CHEMBL3815002	2089528		3q	256.35	3.2	63.83	0	Nc1nc(NCC2CCCCC2)c3ccccc3n1	16609272	IC50	>	25000	nM		IC50	>	25	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1582047	CHEMBL3817085	B	Inhibition of self-induced amyloid beta 42 (unknown origin) aggregation measured for 24 hrs by thioflavin T-based fluorescence spectroscopic analysis	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			99478	CHEMBL3813621	27190601	ACS Med. Chem. Lett.	2016	7	5	502					
CHEMBL197202	328293	CHEMBL197202	328293		16d	336.36	5.05	57.53	1	CC(C(=O)O)c1ccc(c(F)c1)c2ccc(cc2)c3ccc(O)cc3	1606059	IC50	=	35000	nM	4.46	IC50	=	35	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	322428	CHEMBL873550	F	Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL)	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30157	CHEMBL1141070	16134939	J. Med. Chem.	2005	48	18	5705					
CHEMBL372751	328312	CHEMBL372751	328312		11e	366.48	6.29	37.3	1	CC1(C)CCC(CC1)c2ccc(cc2)c3ccc(cc3F)C4(CC4)C(=O)O	1606131	IC50	=	46000	nM	4.34	IC50	=	46	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	322428	CHEMBL873550	F	Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL)	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30157	CHEMBL1141070	16134939	J. Med. Chem.	2005	48	18	5705					
CHEMBL195970	328240	CHEMBL195970	328240		5b	313.15	4.99	37.3	0	CC(C(=O)O)c1ccc(c(F)c1)c2cc(Cl)cc(Cl)c2	1605986	IC50	=	94000	nM	4.03	IC50	=	94	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	321245	CHEMBL881780	B	Concentration required to inhibit A beta 40 peptide	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30157	CHEMBL1141070	16134939	J. Med. Chem.	2005	48	18	5705					
CHEMBL497	8193	CHEMBL497	8193	CLIOQUINOL	13	305.5	3.2	33.12	0	Oc1c(I)cc(Cl)c2cccnc12	13328420	IC50	=	100000	nM	4	IC50	=	100	uM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	961352	CHEMBL2390679	B	Inhibition of amyloid beta (1 to 42) aggregation (unknown origin) at 4:1 compound to protein concentration after 48 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			73707	CHEMBL2385058	23484434	J. Med. Chem.	2013	56	11	4135					
CHEMBL3740688	2053801	CHEMBL3740688	2053801		9	461.56	3.08	78.95	0	CN1C(=O)[C@@]23CCC(=O)N2C[C@@]14C[C@@]5(C(=O)Nc6c7C=CC(C)(C)Oc7ccc56)C(C)(C)[C@@H]4C3	16396354	IC50	=	186600	nM		IC50	=	186.6	uM		Outside typical range	0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1543309	CHEMBL3742730	B	Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			97465	CHEMBL3739334	26517152	J. Nat. Prod.	2015	78	11	2572					
CHEMBL469159	483606	CHEMBL469159	483606		11	204.22	2.57	46.53	0	CC1(C)Oc2ccc(cc2C=C1)C(=O)O	16396356	IC50	>	300000	nM		IC50	>	300	uM		Outside typical range	0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1543309	CHEMBL3742730	B	Inhibition of amyloid beta (1 to 42 residues) (unknown origin) aggregation after 24 hrs by thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			97465	CHEMBL3739334	26517152	J. Nat. Prod.	2015	78	11	2572					
CHEMBL3740581	2053018	CHEMBL3740581	2053018		14	243.31	2.4	35.91	0	CC1=NN(C(=O)C1)c2cccc(c2)N3CCCC3	16407770	IC50					IC50				Not Determined		0	BAO_0000190			1540610	CHEMBL3744471	B	Inhibition of amyloid beta (1 to 40 residues) (unknown origin) aggregation incubated for 72 hrs by Thioflavin T assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			97526	CHEMBL3739287	26598460	Bioorg. Med. Chem. Lett.	2016	26	1	100					
CHEMBL382721	328349	CHEMBL382721	328349		13c	356.39	4.17	55.76	0	OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(OC4CCOCC4)cc3	1606219	IC50					IC50			uM			0	BAO_0000190			322428	CHEMBL873550	F	Inhibitory concentration against beta-amyloid-42 (Abeta42) secretion was evaluated in human neuroglioma cells (H4-APP695NL)	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30157	CHEMBL1141070	16134939	J. Med. Chem.	2005	48	18	5705					
CHEMBL3087681	1605161	CHEMBL3087681	1605161		7	788.98	8.66	116.4	2	CC(C(=O)NCCCCCCNC1=CC(=O)C(=CC1=O)NCCCCCCNC(=O)C(C)c2ccc(c(F)c2)c3ccccc3)c4ccc(c(F)c4)c5ccccc5	13830577	IC50					IC50				Not Determined		0	BAO_0000190			1276878	CHEMBL3089679	B	Inhibition of amyloid beta (1 to 42) aggregation (unknown origin) by thioflavin T fluorescence method	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			75998	CHEMBL3085683	24140444	Bioorg. Med. Chem. Lett.	2013	23	23	6254					
CHEMBL2436707	1585859	CHEMBL2436707	1585859		13o	617.79	6.36	96.86	2	Nc1ccc(cc1)C2=CC(=O)c3ccc(OCCCN4CCN(CCCNc5c6CCCCc6nc7ccccc57)CC4)cc3O2	13487361	IC50					IC50				Not Determined		0	BAO_0000190			986881	CHEMBL2438745	B	Inhibition of amyloid beta (1 to 42) (unknown origin) self-induced aggregation after 48 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			75216	CHEMBL2434826	24095756	Eur. J. Med. Chem.	2013	69		632					
CHEMBL2402073	1569660	CHEMBL2402073	1569660		7b	384.48	5.97	46.28	1	COc1cc(OC)cc(\C=C\c2ccc(NCc3c[nH]c4ccccc34)cc2)c1	13378591	IC50					IC50				Not Determined		0	BAO_0000190			969908	CHEMBL2404861	B	Inhibition of self-mediated amyloid beta (1 to 42) aggregation (unknown origin) after 48 hrs by thioflavin T fluorescence assay	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			74250	CHEMBL2401626	23799643	J. Med. Chem.	2013	56	14	5843					
CHEMBL193634	328313	CHEMBL193634	328313		11f	340.39	4.5	46.53	0	OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(cc3)C4CCOCC4	1606140	IC50					IC50			uM	Not Determined		0	BAO_0000190			321401	CHEMBL880636	B	Concentration required to inhibit amyloid beta 42 peptide; nd is not determined	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30157	CHEMBL1141070	16134939	J. Med. Chem.	2005	48	18	5705					
CHEMBL193971	328261	CHEMBL193971	328261		5h	312.26	4.7	37.3	0	CC(C(=O)O)c1ccc(c(F)c1)c2ccc(cc2)C(F)(F)F	1606013	IC50					IC50			uM	Not Determined		0	BAO_0000190			321378	CHEMBL881756	B	Concentration required to inhibit A beta 40 peptide; nd is not determined	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30157	CHEMBL1141070	16134939	J. Med. Chem.	2005	48	18	5705					
CHEMBL194838	328326	CHEMBL194838	328326		11i	338.42	5.66	37.3	1	OC(=O)C1(CC1)c2ccc(c(F)c2)c3ccc(cc3)C4CCCCC4	1606165	IC50					IC50			uM	Not Determined		0	BAO_0000190			321401	CHEMBL880636	B	Concentration required to inhibit amyloid beta 42 peptide; nd is not determined	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			30157	CHEMBL1141070	16134939	J. Med. Chem.	2005	48	18	5705					
CHEMBL3902640	2112011	CHEMBL3902640	2112011		BDBM155120	450.95	5.13	83.76	1	CO[C@@H]1CC[C@@]2(CC1)Cc3cc(F)c(cc3[C@@]24N=C(C)C(=N4)N)c5cc(Cl)cc(c5)C#N	15872100	IC50	=	.8	nM	9.1	IC50	=	.8	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528818	CHEMBL3705694	B	Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 100 uL cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			94820	CHEMBL3638627			2015				749	CHEMBL3307740	SH-SY5Y		
CHEMBL3961886	2171257	CHEMBL3961886	2171257		BDBM136898	381.52	3.98	69.2	0	CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(OCC4CCC4)cc3C25N=C(C)C(=N5)N	15872149	IC50	=	1.5	nM	8.82	IC50	=	1.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528825	CHEMBL3705769	B	Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 1004, cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			94822	CHEMBL3638992			2015				749	CHEMBL3307740	SH-SY5Y		
CHEMBL3905816	2115187	CHEMBL3905816	2115187		BDBM155149	403.47	3.84	69.2	0	CO[C@@H]1CC[C@@]2(CC1)Cc3ccc(OCC4CC4(F)F)cc3C25N=C(C)C(=N5)N	17678323	IC50	=	2.3	nM	8.64	IC50	=	2.3	nM	297493		0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1528825	CHEMBL3705769	B	Release Assay: SH-SY5Y cells were cultured in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids and cryopreserved and stored at -140 C. at a concentration of 7.5-9.5x106 cells per vial. Thaw cells and seed at a conc. of around 10000 cells/well in DMEM/F-12 with Glutamax, 10% FCS and 1% non-essential amino acids to a 384-well tissue culture treated plate, 1004, cell susp/well. The cell plates were then incubated for 7-24 h at 37 C., 5% CO2. The cell medium was removed, followed by addition of 30 uL compound diluted in DMEM/F-12 with Glutamax, 10% FCS, 1% non-essential amino acids and 1% PeSt to a final conc. of 1% DMSO. The compounds were incubated with the cells for 17 h (overnight) at 37 C., 5% CO2. Meso Scale Discovery (MSD) plates were used for the detection of sAPPbeta release. MSD sAPPbeta plates were blocked in 1% BSA in Tris wash buffer (40 uL/well) for 1 h on shake at r.t. and washed 1 time in Tris wash buffer (40 uL/well).	37	BindingDB Database	Homo sapiens		9606	Autocuration	BAO_0000219	10656	CHEMBL2487	SINGLE PROTEIN	P05067	Beta amyloid A4 protein	Homo sapiens	9	Protein			94822	CHEMBL3638992			2015				749	CHEMBL3307740	SH-SY5Y		
